objID,RA_ICRS,DE_ICRS,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,pmRA,pmDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,spCl,subCl
1237666213540987166,21.530009,32.211335,1,6,1,0.006,0.006,20.011,18.759,18.78,18.85,18.966,0.033,0.008,0.009,0.012,0.041,-4.3E-4,2.0E-5,0,0.8,0.61,,,,3,"SDSS J012607.20+321240.8","2061-53711-0630 ",53263.4046,"STAR  ","A0          "
1237666213540987036,21.509438,32.217182,1,6,1,0.005,0.005,20.95,19.227,18.488,18.181,18.032,0.062,0.01,0.008,0.008,0.02,-1.8E-4,1.0E-5,0,2.83,-0.93,,,,3,"SDSS J012602.26+321301.8","2061-53711-0640 ",53263.4046,"STAR  ","K1          "
1237666213540987200,21.521801,32.232228,1,6,1,0.01,0.01,20.474,19.394,19.382,19.382,19.408,0.045,0.011,0.013,0.018,0.059,-4.5E-4,3.0E-5,0,2.62,3.75,,,,3,"SDSS J012605.23+321356.0","2061-53711-0626 ",53263.4046,"STAR  ","A0          "
1237666213540987277,21.352053,32.234329,1,6,1,0.015,0.014,22.121,20.461,20.129,20.103,20.136,0.143,0.022,0.022,0.029,0.102,-3.1E-4,4.0E-5,0,0.0,0.0,,,,3,"SDSS J012524.49+321403.5","6600-56566-0456 ",53263.4046,"STAR  ","F3/F5V      "
1237666213540987203,21.406488,32.248783,1,6,1,0.007,0.007,21.011,19.51,18.945,18.723,18.593,0.064,0.012,0.01,0.011,0.03,-2.1E-4,1.0E-5,0,-2.13,2.36,,,,3,"SDSS J012537.55+321455.6","2061-53711-0638 ",53263.4046,"STAR  ","F9          "
1237666213540987220,21.424807,32.252724,1,6,1,0.003,0.003,20.061,18.063,17.351,17.113,16.988,0.034,0.006,0.005,0.005,0.01,-5.0E-5,1.0E-5,0,2.76,1.35,,,,3,"SDSS J012541.95+321509.8","2041-53387-0629 ",53263.4046,"STAR  ","K1          "
1237666213541052533,21.462323,32.377257,1,6,1,0.004,0.004,19.55,18.587,18.222,18.101,18.007,0.025,0.007,0.007,0.008,0.02,-2.4E-4,2.0E-5,0,9.82,-11.82,,,,3,"SDSS J012550.95+322238.1","6597-56304-0058 ",53263.405,"STAR  ","F3/F5V      "
1237680315522678944,20.675519,31.827781,1,6,1,0.001,0.001,16.249,14.83,14.312,14.83,14.062,0.007,0.003,0.003,0.011,0.004,-3.0E-5,1.0E-5,0,10.34,-10.07,,,,3,"SDSS J012242.12+314940.0","2041-53387-0558 ",55121.4604,"STAR  ","F9          "
1237680315522744817,20.860735,31.914351,1,6,1,0.12,0.114,25.704,23.747,22.192,20.612,19.636,0.973,0.389,0.199,0.063,0.12,-2.2E-4,1.2E-4,0,,,,,,3,"SDSS J012326.57+315451.6","7728-58138-0397 ",55121.4608,"STAR  ","M4.5:III    "
1237666214077726980,20.876503,31.933951,1,6,1,0.006,0.007,20.53,19.397,19.174,19.117,19.173,0.05,0.011,0.012,0.015,0.045,-3.5E-4,3.0E-5,0,-1.46,-2.31,,,,3,"SDSS J012330.36+315602.2","2061-53711-0548 ",53263.4037,"STAR  ","A0          "
1237680315522744688,20.773788,31.891955,1,6,1,0.041,0.037,22.988,21.121,20.758,20.586,20.391,0.686,0.044,0.056,0.063,0.234,-3.1E-4,1.4E-4,0,32.45,-10.06,,,,3,"SDSS J012305.70+315331.0","7728-58138-0434 ",55121.4608,"STAR  ","F6III       "
1237680311773757597,20.802713,31.932026,1,6,1,0.001,0.001,17.408,16.489,16.076,15.909,15.827,0.011,0.004,0.004,0.004,0.007,5.0E-5,1.0E-5,0,30.88,-1.16,,,,3,"SDSS J012312.65+315555.2","2041-53387-0553 ",55121.4316,"STAR  ","F5          "
